number,name,name_object,date,author,address,district,protection_category,base,note,lat,lon
20,Александровский сад,Сад,1872-1874; 1930,ботаник Регель Э.Л.; арх. Ильин Л.А.,"Адмиралтейский пр., Декабристов пл.",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.936458,30.302295
21,Александровский сад,"Статуя ""Геракл Фарнезский""","18 в. 1-я четв., 18 в.; 1833 (установлена)",Копия  неизвестного скульптора с оригинала итальянского скульптора  Гликона,"Адмиралтейский пр., Декабристов пл.",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.936458,30.302295
22,Александровский сад,"Статуя ""Флора Фарнезская""","18 в. 1-я четв., 18 в.; 1833 (установлена)",Копия неизвестного итальянского скульптора с античного оригинала 3 в. до н.э.,"Адмиралтейский пр., Декабристов пл.",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.936458,30.302295
23,Александровский сад,Фонтан,1875-1879,"гражд.инж. Мерц И.А., Гешвенд А.Р.","Адмиралтейский пр., Декабристов пл.",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.936458,30.302295
24,Александровский сад,Бюст географа Пржевальского Н.М.,1892,"ск. Шредер И.Н., ск. Рунеберг Р.И., худ. Бильдерлинг А.А.",Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл.,Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.938996,30.315482
25,Александровский сад,Бюст композитора Глинки М.И.,1899,"ск. Пащенко В.П., арх. Лыткин А.С.",Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл.,Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.938996,30.315482
26,Александровский сад,Бюст писателя Гоголя Н.В.,1896,"ск. Крейтан В.П., арх. Максимов А.П.",Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл.,Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.938996,30.315482
27,Александровский сад,Бюст поэта Жуковского В.А.,1887,"ск. Крейтан В.П., арх. Лыткин А.С.",Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл.,Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.938996,30.315482
28,Александровский сад,Бюст поэта Лермонтова М.Ю.,1896,"ск. Крейтан В.П., арх. Максимов А.П.",Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл.,Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.938996,30.315482
29,,"Дом, где в 1866-1870 гг. находилась ""Артель художников"" и жил художник Крамской И.Н.",,,"Адмиралтейский пр., 10; Вознесенский пр., 2",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.935529,30.308861
30,,Дом Лобанова-Ростовского А.Я.,1817-1820,"арх. Монферран О.Р., ск. Трискорни П.","Адмиралтейский пр., 12; Исаакиевская пл., 2; Вознесенский пр., 1",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.934952,30.308152
31,,Дом Ф.В. Кранкенгагена,1900,арх. А.А. Бруни,"Адмиралтейского кан. наб., 17",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
32,,Дом Г. Радинга (А.Ф. Пистолькорс),кон. 18 - нач. 19 в.; 1875,арх. Н.Ф. Беккер (1875),"Адмиралтейского кан. наб., 25; Галерная ул., 50",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
33,,Дом Л.И. Штиглица (Запасной дворец вел. кн. Павла Александровича),1824; 1894,арх. С.А. Поленов (1894),"Адмиралтейского кан. наб., 29; Галерная ул., 54",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
34,,Дом И.Н. Блейхмана,2-я пол. 18 в.; 1884,"арх. А.Н. Бенуа, Ю.Ю. Бенуа (1884)","Адмиралтейского кан. наб., 3; Галерная ул., 28 (дом по набережной)",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
35,,Дом В.Г. Никонова,1827; 1852,"арх. П.П. Гендриков (?);  арх. Н.П. Гребенка, И.И. Климов","Адмиралтейского кан. наб., 7",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
36,,"Памятник-стела в честь революционного крейсера ""Аврора""",1939,арх. Гегело А.И.,"Английская наб.,  42 (б. Набережная Красного Флота)",Адмиралтейский,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 757 от 24.10.1977,,,
37,,Дом Нарышкина А.Л. (Воронцовых-Дашковых),1736-1738; 1770-е; 19 в.,,"Английская наб., 10; Галерная ул., 9",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.934695,30.298423
38,,Дом М. Маркевича,18 в.; 1845,арх. И. Д. Корсини (1845),"Английская наб., 12; Галерная ул., 11",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
39,,"Дом Тенишевых (Чаплиц М.К.), в том числе: корпус по Английской наб., корпус по Галерной ул., служебный корпус",18-20 вв.,,"Английская наб., 14; Галерная ул., 13",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,,
40,"Дом Тенишевых (Чаплиц М.К.), в том числе: корпус по Английской наб., корпус по Галерной ул., служебный корпус",Корпус по Английской наб.,18 в. кон.-19 в. нач.; 1870; 1909,"арх. Эстеррейх В.Ф., гражд. инж. Красковский С.Ю.","Английская наб., 14",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,,
41,"Дом Тенишевых (Чаплиц М.К.), в том числе: корпус по Английской наб., корпус по Галерной ул., служебный корпус",Служебный корпус,19 в. 1-я пол.; 1891,гражд. инж. Кондратьев С.П.,"Английская наб., 14",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,,
42,"Дом Тенишевых (Чаплиц М.К.), в том числе: корпус по Английской наб., корпус по Галерной ул., служебный корпус",Корпус по Галерной ул.,18 в. кон.-19 в. нач.; 1898,"арх. Сабанеев Е.А., арх. Гавеман А.Р.","Галерная ул., 13",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,,
43,,Особняк Дурново П.П.,18 в. кон.-19 в. нач.; 1872,арх. Фонтана Л.Ф.,"Английская наб., 16; Галерная ул., 15",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,,
44,,Дом С.П. Горсткина (С.М. Толстого),18 в.; 1869; 1884; 1885,арх. Ц.А. Кавос (1869); арх. И.П. Маас (1884); арх. А.С. Хренов (1885),"Английская наб., 22; Замятин пер., 1",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
45,,Дом О.Н. Варгуниной (В.В. Скаржинского),18 в.; 1825; 1866; 1910,арх. А.Ф. Щедрин (1825); арх. А.Ф. Занфтлебен (1866); арх. Г.В. Войневич (1910),"Английская наб., 24; Галерная ул., 23",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-22 от 21.07.2009,,,
46,,Дома купца Челышева,18 в. кон.; 1835 (перестройка),арх. Мельников А.И.,"Английская наб., 26 (б. Красного флота наб.); Галерная ул., 25",Адмиралтейский,Объект культурного наследия регионального значения,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,,,
47,,Дом фон Дервиза П.П. (Великого князя Андрея Владимировича) с дворовыми флигелями,18 в. 1-я пол.; 1889-1890-е,арх. Красовский А.Ф.,"Английская наб., 28; Галерная ул., 27",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.933523,30.29447
48,,Дом Майера Э.М.,"19 в. 1-я пол.; 1857-1858, корпус","арх. Бернгард Р.Б.; арх. Бернгард Р.Б., арх. Рахау К.","Английская наб., 30; Галерная ул., 29",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,,
49,,Коллегия Иностранных дел (дом Куракина Б.А.),1750-1760-е; 1782-1783,арх. Башмаков М.А.; арх. Кваренги Д.,"Английская наб., 32, Галерная ул.,31",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.933158,30.293383
50,,Дом фон Дервиза С.П. с дворовыми флигелями,18 в. 1-я пол.; 1868-1871; 1885,арх. Миллер Ф.; арх. Шрейбер П.П.,"Английская наб., 34; Галерная ул., 33",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.932951,30.292674
51,,"Дом А.Ф. Кларка (здание общества ""Мазут"")","18 в.; 1883, 1889-1890; 1912","арх. В.А. Шретер (1883, 1889-1890); арх. Н.Л. Марков (1912)","Английская наб., 38; Галерная ул., 39; Труда пл., 1",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-22 от 21.07.2009,,,
52,,Дом  Румянцева Н.П. (Кочубея Е.Л.),1720-1730-е; 1820-е; 1863-1865; 1882-1886,"арх. Глинка В.А., ск. Мартос И.П.; арх. Цим И.А.; арх. Степанов А.А.","Английская наб., 44; Галерная ул., 45",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.932211,30.289934
53,,Дома П.К.Ферзена (А.Я.Прозорова),18-19 вв.,,"Английская наб., 48; Галерная ул., 49",Адмиралтейский,Объект культурного наследия регионального значения,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,,,
54,Дома П.К.Ферзена (А.Я.Прозорова),Дом N 48,"18 в. кон., 1838; 1885",арх. Садовников П.С.; воен.инж. Карлович В.М.,"Английская наб., 48",Адмиралтейский,Объект культурного наследия регионального значения,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,,,
55,Дома П.К.Ферзена (А.Я.Прозорова),Дом N 49,"18 в. кон., 1848; 1880-е",арх. Боссе Г.Э.; арх. Кенель В.А.,"Галерная ул., 49",Адмиралтейский,Объект культурного наследия регионального значения,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,,,
56,,Дом Лаваль А.Г.,1730-е; 1791-1793; 1806-1809; 1945-1952 (реставрация),арх. Воронихин А.Н.; арх. Тома де Томон Ж.Ф.; арх. Ротач А.Л.,"Английская наб., 4; Галерная ул., 3",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.935232,30.300121
57,,Дом Стенбок-Ферморов (дом Капниста),18 в. нач.; 1830-е,,"Английская наб., 50; Галерная ул., 51",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.931842,30.28891
58,,Дом Потемкина А.Я. (Струкова),1730-е; 19 в. нач.,,"Английская наб., 52; Галерная ул., 53",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,,
59,,Дворец Великого князя Михаила Александровича с дворовыми флигелями,18 в. 1-я треть.; 1870-1874; 1910-1913,арх. Рахау К.К.; арх. Мельцер Р.Ф.,"Английская наб., 54; Галерная ул., 55",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.931742,30.2882
60,,Церковь англиканская Иисуса Христа,1730-е; 1814-1815; 1876,арх. Кваренги Д.; гражд.инж. Болтенгаген Ф.К.,"Английская наб., 56; Галерная, 57",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.931544,30.287688
61,Церковь англиканская Иисуса Христа,Дом жилой,1730-е; 1814-1815; 1876,арх. Кваренги Д.; гражд.инж. Болтенгаген Ф.К.,"Английская наб., 56; Галерная, 57",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.931544,30.287688
62,Церковь англиканская Иисуса Христа,Корпуса служебные (два),1730-е; 1814-1815; 1876,арх. Кваренги Д.; гражд.инж. Болтенгаген Ф.К.,"Английская наб., 56; Галерная, 57",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.931544,30.287688
63,Церковь англиканская Иисуса Христа,Церковь,1730-е; 1814-1815; 1876,арх. Кваренги Д.; гражд.инж. Болтенгаген Ф.К.,"Английская наб., 56; Галерная, 57",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.931544,30.287688
64,,Дома Е. Занадворской,18 в. кон.; 1858,арх. Дютель Ю.А.,"Английская наб., 58 (б. Красного Флота, наб.); Галерная ул., 59",Адмиралтейский,Объект культурного наследия регионального значения,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,,,
65,,Особняк Теплова,18 в. 1-я пол.; 1870,арх. Мижуев П.П.,"Английская наб., 60 (б. Красного Флота, наб.); Галерная ул., 61",Адмиралтейский,Объект культурного наследия регионального значения,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,,,
66,,Дом М.Н. Челищева (М.Л. и И.Л. Варшавских),18 в.; 1858; 1908,арх. Н.В. Трусов (1858); гражд. инж. М.Ю. Капелинский (1908),"Английская наб., 62; Галерная ул., 63",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
67,,Дом С.В. Линдес (Здание Шведского посольства),"18 в.; 1823; 1860; 1886-1890, 1900; 1913","арх. Шарлемань (1823); арх. И.И. Цим (1860); арх. В. А. Шретер (1886-1890, 1900); арх. Ф. Лилльеквист (1913)","Английская наб., 64; Галерная ул., 65",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
68,,Дом кн. Л.Д. Вяземского,18 в. кон.; 1875,"арх. Мижуев П.П., арх. Бульери Л.Ф.","Английская наб., 66 (б. Красного Флота, наб.); Галерная ул., 67",Адмиралтейский,Объект культурного наследия регионального значения,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,,,
69,,Дом Штиглица А.Л. (дворец Великого князя Павла Александровича),1859-1862; 1887-1889 (переделка),арх. Кракау А.И.; арх. Месмахер М.Е.,"Английская наб., 68; Галерная ул., 69",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.931048,30.286062
70,,Особняк Казалета Э.П. (Тенишевых),18 в.1-я пол.; 1865-1866; 1900,арх. Стуккей В.Е.; гражд.инж. Берзен Р.А.,"Английская наб., 6; Галерная ул., 5",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,,
71,,Особняк С.В. Гвейера (А.В. Стеткевича),18 в.; 1856; 1871; 1896,арх. А.А. Бравура (1856); арх. К.И. Реймерс (1871); арх. А.С. Хренов ? (1896),"Английская наб., 70; Галерная ул., 73",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
72,,Особняк Е.Ф. Молво,18 в.; 1881,арх. А.Н. Бенуа,"Английская наб., 72; Галерная ул., 75",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
73,,"Дом Виллие Я.В. (Демидова, Гауша)",1737-1738; 1820-е кон.,,"Английская наб., 74; Ново-Адмиралтейского кан. наб., 2",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,,
74,,Дом Паскевича Ф.И. (с дворовыми флигелями),18 в.1-я пол.; 1856-1857,"арх. Пель А.Х., арх. Гедике Р.А.","Английская наб., 8; Галерная ул., 7",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.934894,30.298926
75,,"Здание кондитерской фабрики ""Жорж Борман""",1912,"арх. П.П. Павлов, В.В. Виндельбандт","Английский пр., 16; ул. Писарева, 3",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-22 от 21.07.2009,,,
76,,Образцовый жилой дом Общества для улучшения помещений для рабочего и нуждающегося населения,1859-1861; 1877,арх. С.Б. фон Ган; арх. П.П. Мижуев,"Английский пр., 17-19; Декабристов ул., 55",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
77,,"Дом, в котором: жила в 1909-1910 гг. актриса Комисаржевская Вера Федоровна (кв. 7); жил с 1908 г. и умер в 1940 г. океанограф академик Шокальский Юлий Михайлович (кв. 19); в помешениях училища Витмер О.К. неоднократно бывал Ленин В.И. (1905-1906 гг.)",,,"Английский пр., 27; Союза Печатников ул., 27",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,,
78,,Дом В.В. Веретенниковой,1912-1913,гражд. инж. П.Г. Головков,"Английский пр., 3",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
79,,"Здания, где в 1897-1919 гг. находились Высшие курсы физического образования (курсы Лесгафта). Здесь жили и работали: в 1897-1909 гг.- основатель курсов Лесгафт П.Ф., в 1907-1941гг.- революционер Морозов Н.А., в 1913-1958 гг.- физиолог Орбели Л.А.",,,"Английский пр., 32; Союза Печатников ул., 25-а",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.922706,30.286655
80,,Особняк А.К. Пампеля,1880-1881,арх. В.А. Шретер,"Английский пр., 4-6, лит. А",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-22 от 21.07.2009,,,
81,,Дом. XIX в. Здесь в 1906-1907 гг. Ленин В.И. принимал участие в партийных собраниях,,,"Английский пр., 41; Садовая ул., 105; Канонерская ул., 26",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,,
82,,Дом фан Гильзе фан дер Пальса Г.Г.,1901-1902,арх. Иогансен В.Ю.,"Английский пр., 8-10",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.926512,30.282954
83,Дом фан Гильзе фан дер Пальса Г.Г.,Дом жилой,1901-1902,арх. Иогансен В.Ю.,"Английский пр., 8-10",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.926512,30.282954
84,Дом фан Гильзе фан дер Пальса Г.Г.,Службы,1901-1902,арх. Иогансен В.Ю.,"Английский пр., 8-10",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.926512,30.282954
85,Дом фан Гильзе фан дер Пальса Г.Г.,Ограды (две),,,"Английский пр., 8-10",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.926512,30.282954
86,Дом фан Гильзе фан дер Пальса Г.Г.,Ворота,,,"Английский пр., 8-10",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.926512,30.282954
87,,Жилой дом,2-я пол. 18 в.; 1813 (?),,"Антоненко пер., 10; Казанская ул., 31",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
88,,Дом Е.Ф. Брюна,1837,арх. А.М. Болотов,"Антоненко пер., 6",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
89,,"Дом, где в 1840-1841 гг. жил писатель и философ Герцен А.И.",,,"Большая Морская ул., 25; Гороховая ул., 11",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.934429,30.312814
90,,Дом Петерсона (Лобановых-Ростовских),1730-е; 1852; 1858; 1872,арх. М.Г. Земцов; арх. Л.Ф. Вендрамини; арх. Ф.И. Эппингер; арх. И.А. Мерц,"Большая Морская ул., 31",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
91,,Банк для внешней торговли Русский с флигелями,1887-1888,арх. Шретер В.А.,"Большая Морская ул., 32",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.933546,30.312419
92,,"Дом, где в читальне книжного магазина газеты "" Новости"" в 1895 г. Ленин В.И. встречался с петербургскими марксистами",,,"Большая Морская ул., 33",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,,
93,,"Дома страхового общества ""Россия""",19 в.-20 в. нач.,,"Большая Морская ул., 35, 37",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.933311,30.310442
94,"Дома страхового общества ""Россия""",Дом жилой,1905-1907,"керамист Ваулин П.К., гражд.инж. Гимпель А.А., арх. Ильяшев В.В., худ. Рерих Н.К.","Большая Морская ул., 35",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.933311,30.310442
95,"Дома страхового общества ""Россия""",Дом жилой,"19 в. 1-я пол., 1898-1899","арх. Бенуа Л.Н., арх. Леви З.Я.","Большая Морская ул., 37",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.933104,30.309993
96,"Дома страхового общества ""Россия""",Флигель,1900,гражд.инж. Гимпель А.А.,"Большая Морская ул., 37 (во втором дворе)",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.933104,30.309993
